"imei","captured_at","lat","lng","speed","heading","altitude","satellites","ignition","io","device_type","hdop","pdop","direction","odometer","x_axis","y_axis","z_axis","distance_delta","signal"
"350317172709754","2026-05-16 14:13:48+00","26.9223616","75.6944333","1",,"474","5","1",,,"0",,"177","0",,,,"0","0"
"350317172709754","2026-05-16 14:13:53+00","26.9223633","75.6944149","1",,"467","5","1",,,"0",,"148","0",,,,"0","0"
"350317172709754","2026-05-16 14:13:58+00","26.9223433","75.6943816","1",,"460","5","1",,,"0",,"176","0",,,,"0","0"
"350317172709754","2026-05-16 14:14:03+00","26.9222766","75.6943649","1",,"458","5","1",,,"0",,"186","0",,,,"0","0"
"350317172709754","2026-05-16 14:14:08+00","26.9222416","75.69435","1",,"458","5","1",,,"0",,"193","0",,,,"0","0"
"350317172709754","2026-05-16 14:14:13+00","26.9222266","75.6943466","1",,"457","5","1",,,"0",,"163","0",,,,"0","0"
"350317172709754","2026-05-16 14:14:18+00","26.9222183","75.6943366","0",,"456","6","1",,,"0",,"183","0",,,,"0","0"
"350317172709754","2026-05-16 14:14:23+00","26.9222283","75.6943366","0",,"456","6","1",,,"0",,"183","0",,,,"0","0"
"350317172709754","2026-05-16 14:14:28+00","26.9222283","75.6943366","0",,"456","6","1",,,"0",,"183","0",,,,"0","0"
"350317172709754","2026-05-16 14:14:33+00","26.9222283","75.6943366","0",,"456","6","1",,,"0",,"183","0",,,,"0","0"
"350317172709754","2026-05-16 14:14:38+00","26.9222283","75.6943366","0",,"456","6","1",,,"0",,"183","0",,,,"0","0"
"350317172709754","2026-05-16 14:14:43+00","26.9222283","75.6943366","0",,"456","6","1",,,"0",,"183","0",,,,"0","0"
"350317172709754","2026-05-16 14:14:48+00","26.9222283","75.6943366","0",,"456","4","1",,,"0",,"183","0",,,,"0","0"
"350317172709754","2026-05-16 14:14:52+00","26.9222483","75.6943099","0",,"451","6","1",,,"0",,"27","0",,,,"0","0"
"350317172709754","2026-05-16 14:14:58+00","26.9222516","75.6943066","0",,"452","5","1",,,"0",,"6","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:03+00","26.9222516","75.6943066","0",,"452","6","1",,,"0",,"6","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:07+00","26.9222516","75.6943066","6",,"452","7","1",,,"0",,"68","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:09+00","26.9222516","75.694355","11",,"448","7","1",,,"0",,"76","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:10+00","26.9222566","75.69439","12",,"447","7","1",,,"0",,"75","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:11+00","26.922255","75.69444","8",,"446","7","1",,,"0",,"77","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:13+00","26.922255","75.6944516","7",,"445","7","1",,,"0",,"87","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:13.01+00","26.922255","75.6944516","7",,"445","7","1",,,"0",,"87","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:16+00","26.92221","75.694495","6",,"442","7","1",,,"0",,"96","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:18+00","26.9222216","75.6945233","9",,"441","7","1",,,"0",,"95","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:19+00","26.92223","75.694555","11",,"441","8","1",,,"0",,"92","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:21+00","26.92224","75.6946183","9",,"439","8","1",,,"0",,"91","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:22+00","26.9222533","75.6946433","9",,"439","8","1",,,"0",,"84","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:23+00","26.9222683","75.6946716","9",,"438","8","1",,,"0",,"74","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:24+00","26.922265","75.6946983","8",,"437","8","1",,,"0",,"63","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:25+00","26.9222883","75.6947283","8",,"436","8","1",,,"0",,"50","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:25.01+00","26.9222883","75.6947283","8",,"436","8","1",,,"0",,"50","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:26+00","26.9222816","75.6947966","8",,"434","8","1",,,"0",,"64","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:28+00","26.9222616","75.6948483","10",,"434","8","1",,,"0",,"79","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:28.01+00","26.9222616","75.6948483","10",,"434","8","1",,,"0",,"79","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:29+00","26.9222683","75.6949266","12",,"432","8","1",,,"0",,"74","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:31+00","26.9222449","75.6949916","13",,"431","8","1",,,"0",,"75","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:32+00","26.9222183","75.69505","16",,"430","8","1",,,"0",,"92","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:32.01+00","26.9222183","75.69505","16",,"430","8","1",,,"0",,"92","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:33+00","26.9221849","75.6951116","22",,"429","8","1",,,"0",,"105","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:34+00","26.92215","75.695185","26",,"428","8","1",,,"0",,"104","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:35+00","26.9221233","75.6952683","29",,"427","8","1",,,"0",,"100","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:36+00","26.9220916","75.6954416","31",,"425","8","1",,,"0",,"95","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:38+00","26.9220733","75.6955266","30",,"424","8","1",,,"0",,"97","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:39+00","26.922045","75.6956133","30",,"423","8","1",,,"0",,"96","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:40+00","26.922","75.6957766","30",,"421","8","1",,,"0",,"99","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:42+00","26.92198","75.6958616","31",,"420","8","1",,,"0",,"99","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:43+00","26.9219566","75.6959466","30",,"419","8","1",,,"0",,"101","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:45+00","26.921925","75.6961016","27",,"417","7","1",,,"0",,"99","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:46+00","26.9219083","75.6961716","26",,"416","8","1",,,"0",,"99","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:47+00","26.9218633","75.6962983","24",,"414","8","1",,,"0",,"101","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:49+00","26.9218433","75.6963616","24",,"413","8","1",,,"0",,"100","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:50+00","26.9218233","75.6964233","23",,"412","8","1",,,"0",,"100","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:51+00","26.921805","75.6964983","14",,"411","8","1",,,"0",,"88","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:53+00","26.921815","75.6965283","10",,"410","9","1",,,"0",,"76","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:53.01+00","26.921815","75.6965283","10",,"410","9","1",,,"0",,"76","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:54+00","26.92182","75.6965466","7",,"409","9","1",,,"0",,"60","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:54.01+00","26.921835","75.6965583","7",,"409","8","1",,,"0",,"37","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:56+00","26.9218516","75.6965649","7",,"408","8","1",,,"0",,"21","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:56.01+00","26.9218633","75.6965666","5",,"407","8","1",,,"0",,"13","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:58+00","26.921935","75.6965916","16",,"406","7","1",,,"0",,"19","0",,,,"0","0"
"350317172709754","2026-05-16 14:15:59+00","26.9219966","75.6966116","20",,"405","8","1",,,"0",,"19","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:00+00","26.92215","75.6966316","25",,"403","8","1",,,"0",,"8","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:02+00","26.9222183","75.6966366","25",,"402","8","1",,,"0",,"9","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:03+00","26.922275","75.69665","23",,"402","8","1",,,"0",,"14","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:04+00","26.9223466","75.6966666","23",,"401","8","1",,,"0",,"25","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:04.01+00","26.9224016","75.6966966","23",,"401","8","1",,,"0",,"33","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:06+00","26.9224083","75.696745","20",,"400","8","1",,,"0",,"64","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:06.01+00","26.9224083","75.696745","20",,"400","8","1",,,"0",,"64","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:07+00","26.9224233","75.6968016","21",,"399","8","1",,,"0",,"73","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:08+00","26.9224233","75.6968633","23",,"399","8","1",,,"0",,"88","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:09+00","26.9224233","75.69693","23",,"398","8","1",,,"0",,"89","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:10+00","26.922425","75.6969916","20",,"397","8","1",,,"0",,"86","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:11+00","26.9224566","75.6970966","18",,"395","8","1",,,"0",,"66","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:12+00","26.9225","75.6971183","15",,"395","9","1",,,"0",,"29","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:13+00","26.9225","75.6971183","15",,"395","9","1",,,"0",,"29","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:13.01+00","26.9225366","75.6971316","15",,"394","8","1",,,"0",,"15","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:14+00","26.9225366","75.6971316","15",,"394","8","1",,,"0",,"15","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:16+00","26.9226283","75.6971516","19",,"392","7","1",,,"0",,"8","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:17+00","26.9226866","75.69716","21",,"391","7","1",,,"0",,"7","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:18+00","26.9227866","75.697175","23",,"390","8","1",,,"0",,"4","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:20+00","26.9228366","75.697185","24",,"389","8","1",,,"0",,"8","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:21+00","26.9228933","75.697195","23",,"388","8","1",,,"0",,"11","0",,,,"0","0"
"350317172709754","2026-05-16 14:16:23+00","26.9229883","75.6972133","20",,"386","8","1",,,"0",,"11","0",,,,"0","0"
